"Substance / Classe","Substance / Classe associée","Risque / Effet","Niveau de contrainte","Conduite à tenir"
"ABATACEPT","ANTI-TNF ALPHA","Majoration de l'immunodépression.","Association DECONSEILLEE",""
"ABATACEPT","VACCINS VIVANTS ATTÉNUÉS","Risque de maladie vaccinale généralisée, éventuellement mortelle.","Association DECONSEILLEE","ainsi que pendant les 3 mois suivant l'arrêt du traitement."
"ABIRATERONE","INDUCTEURS ENZYMATIQUES PUISSANTS","Diminution notable des concentrations plasmatiques de l'abiratérone, avec risque de moindre efficacité.","Association DECONSEILLEE",""
"ABIRATERONE","METOPROLOL","Chez l'insuffisant cardiaque, risque d'augmentation des effets indésirables du métoprolol, par diminution de son métabolisme hépatique par l'abiratérone.","Précaution d'emploi","Surveillance clinique. Si besoin, adaptation de la posologie du métoprolol pendant le traitement par l'abiratérone."
"ABIRATERONE","PROPAFENONE","Risque d'augmentation des effets indésirables de la propafénone, par diminution de son métabolisme hépatique par l'abiratérone.","Précaution d'emploi","Surveillance clinique. Si besoin, adaptation de la posologie de la propafénone pendant le traitement par l'abiratérone."
"ABIRATERONE","RIFAMPICINE","Diminution notable des concentrations plasmatiques de l'abiratérone, avec risque de moindre efficacité.","Association DECONSEILLEE",""
"ABROCITINIB","FLUCONAZOLE","Risque de majoration des effets indésirables de l'abrocitinib par diminution de son métabolisme.","Précaution d'emploi","Réduire la posologie de l'abrocitinib de moitié en cas de traitement par le fluconazole."
"ABROCITINIB","FLUVOXAMINE","Risque de majoration des effets indésirables de l'abrocitinib par diminution de son métabolisme.","Précaution d'emploi","Réduire la posologie de l'abrocitinib de moitié en cas de traitement par la fluvoxamine."
"ACETAZOLAMIDE","ACIDE ACETYLSALICYLIQUE","Majoration des effets indésirables, et notamment de l'acidose métabolique, de l'acide acétylsalicylique à doses élevées et de l'acétazolamide, par diminution de l'élimination de l'acide acétylsalicylique par l'acétazolamide.","Association DECONSEILLEE",""
"ACETAZOLAMIDE","CARBAMAZEPINE","Augmentation des concentrations plasmatiques de carbamazépine avec signes de surdosage.","Précaution d'emploi","Surveillance clinique et, si besoin, contrôle des concentrations plasmatiques de carbamazépine et réduction éventuelle de sa posologie."
"ACETAZOLAMIDE","LITHIUM","Diminution de la lithémie avec risque de baisse de l'efficacité thérapeutique.","Précaution d'emploi","Surveillance stricte de la lithémie et adaptation éventuelle de la posologie du lithium."
"ACETAZOLAMIDE","VALPROÏQUE (ACIDE) ET, PAR EXTRAPOLATION, VALPROMIDE","Augmentation de l'hyperammoniémie, avec risque accru d'encéphalopathie.","Précaution d'emploi","Surveillance clinique et biologique régulière."
"ACIDE ACETOHYDROXAMIQUE","FER","Diminution de l'absorption digestive de ces deux médicaments par chélation du fer.","A prendre en compte",""
"ACIDE ACETYLSALICYLIQUE","ACETAZOLAMIDE","Majoration des effets indésirables, et notamment de l'acidose métabolique, de l'acide acétylsalicylique à doses élevées et de l'acétazolamide, par diminution de l'élimination de l'acide acétylsalicylique par l'acétazolamide.","Association DECONSEILLEE",""
"ACIDE ACETYLSALICYLIQUE","ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II","Pour des doses anti-inflammatoires d'acide acétylsalicylique (>= 1g par prise et/ou >= 3g par jour) ou pour des doses antalgiques ou antipyrétiques (>=500 mg par prise et/ou < 3g par jour): Insuffisance rénale aiguë chez le patient à risque (âgé, déshydraté, sous diurétiques, avec une fonction rénale altérée), par diminution de la filtration glomérulaire secondaire à une diminution de la synthèse des prostaglandines rénales. Par ailleurs, réduction de l'effet antihypertenseur.","Précaution d'emploi","Hydrater le malade et surveiller la fonction rénale en début de traitement et régulièrement pendant l'association."
"ACIDE ACETYLSALICYLIQUE","ANTICOAGULANTS ORAUX","Majoration du risque hémorragique, notamment en cas d'antécédent d'ulcère gastro-duodénal.","Contre-indication / Association déconseillée / A prendre en compte","Contre-indication avec doses anti-inflammatoires ou antalgiques/antipyrétiques avec antécédent d'ulcère. Association déconseillée avec doses antalgiques/antipyrétiques sans antécédent d'ulcère ou doses antiagrégantes avec antécédent d'ulcère. A prendre en compte avec doses antiagrégantes sans antécédent d'ulcère."
"ACIDE ACETYLSALICYLIQUE","ANTI-INFLAMMATOIRES NON STÉROÏDIENS","Majoration du risque ulcérogène et hémorragique digestif.","Association déconseillée / A prendre en compte","Association déconseillée avec doses anti-inflammatoires ou antalgiques/antipyrétiques. A prendre en compte avec doses antiagrégantes (50 mg à 375 mg par jour)."
"ACIDE ACETYLSALICYLIQUE","CLOPIDOGREL","Majoration du risque hémorragique par addition des activités antiagrégantes plaquettaires.","Association déconseillée / Précaution d'emploi / A prendre en compte","Association déconseillée en dehors des indications validées dans le SCA. Précaution d'emploi dans les indications validées du SCA. A prendre en compte selon posologies."
"ACIDE ACETYLSALICYLIQUE","DEFERASIROX","Majoration du risque ulcérogène et hémorragique digestif.","A prendre en compte",""
"ACIDE ACETYLSALICYLIQUE","DIURÉTIQUES","Pour des doses anti-inflammatoires ou antalgiques/antipyrétiques: Insuffisance rénale aiguë chez le patient à risque par diminution de la filtration glomérulaire. Réduction de l'effet antihypertenseur.","Précaution d'emploi","Hydrater le malade et surveiller la fonction rénale en début de traitement et régulièrement pendant l'association."
"ACIDE ACETYLSALICYLIQUE","GLUCOCORTICOIDES (SAUF HYDROCORTISONE)","Majoration du risque hémorragique.","Association déconseillée / A prendre en compte","Association déconseillée avec doses anti-inflammatoires. A prendre en compte avec doses antalgiques ou antipyrétiques."
"ACIDE ACETYLSALICYLIQUE","HÉPARINES (DOSES CURATIVES ET/OU SUJET ÂGÉ)","Augmentation du risque hémorragique (inhibition de la fonction plaquettaire et agression de la muqueuse gastroduodénale).","Association déconseillée / A prendre en compte","Association déconseillée avec doses anti-inflammatoires ou antalgiques/antipyrétiques. Utiliser un autre anti-inflammatoire/antalgique. A prendre en compte avec doses antiagrégantes."
"ACIDE ACETYLSALICYLIQUE","HÉPARINES (DOSES PRÉVENTIVES)","L'utilisation conjointe de médicaments agissant à divers niveaux de l'hémostase majore le risque de saignement. Chez le sujet de moins de 65 ans, quelle que soit la dose.","A prendre en compte","Maintenir une surveillance clinique et éventuellement biologique."
"ACIDE ACETYLSALICYLIQUE","INHIBITEURS DE L'ENZYME DE CONVERSION","Pour des doses anti-inflammatoires ou antalgiques/antipyrétiques: Insuffisance rénale aiguë chez le patient à risque, réduction de l'effet antihypertenseur.","Précaution d'emploi","Hydrater le malade et surveiller la fonction rénale en début de traitement et régulièrement pendant l'association."
"ACIDE ACETYLSALICYLIQUE","METHOTREXATE","Majoration de la toxicité, notamment hématologique, du méthotrexate (diminution de sa clairance rénale).","Contre-indication / Précaution d'emploi","Méthotrexate > 20 mg/semaine: contre-indication avec doses antalgiques/anti-inflammatoires; précaution d'emploi avec doses antiagrégantes. Méthotrexate <= 20 mg/semaine: précaution d'emploi avec doses antalgiques/anti-inflammatoires. Contrôle hebdomadaire de l'hémogramme."
"ACIDE ACETYLSALICYLIQUE","NICORANDIL","Majoration du risque ulcérogène et hémorragique digestif.","Association DECONSEILLEE",""
"ACIDE ACETYLSALICYLIQUE","PEMETREXED","Risque de majoration de la toxicité du pemetrexed (diminution de sa clairance rénale par l'acide acétylsalicylique à doses anti-inflammatoires).","Association déconseillée / Précaution d'emploi","Association déconseillée en cas de fonction rénale faible à modérée. Précaution d'emploi en cas de fonction rénale normale (surveillance biologique)."
"ACIDE ACETYLSALICYLIQUE","PROBENECIDE","Diminution de l'effet uricosurique par compétition de l'élimination de l'acide urique au niveau des tubules rénaux.","Association DECONSEILLEE",""
"ACIDE ACETYLSALICYLIQUE","TICAGRELOR","Majoration du risque hémorragique par addition des activités antiagrégantes plaquettaires.","Association déconseillée / Précaution d'emploi","Association déconseillée en dehors des indications validées dans le SCA. Précaution d'emploi dans les indications validées du SCA (surveillance clinique)."
"ACIDE ACETYLSALICYLIQUE","TICLOPIDINE","Majoration du risque hémorragique par addition des activités antiagrégantes plaquettaires.","A prendre en compte",""
"ACIDE ASCORBIQUE","CICLOSPORINE","Risque de diminution des concentrations sanguines de la ciclosporine, notamment en cas d'association avec la vitamine E.","A prendre en compte","Si l'association ne peut être évitée, surveillance clinique étroite."
"ACIDE ASCORBIQUE","DÉFÉRIPRONE","Avec l'acide ascorbique à fortes doses et par voie IV: risque d'anomalies de la fonction cardiaque, voire insuffisance cardiaque aiguë.","Précaution d'emploi","Surveillance de la fonction cardiaque."
"ACIDE ASCORBIQUE","DÉFÉROXAMINE","Avec l'acide ascorbique à fortes doses et par voie IV: anomalies de la fonction cardiaque, voire insuffisance cardiaque aiguë.","Précaution d'emploi","En cas d'hémochromatose, ne donner la vitamine C qu'après avoir commencé le traitement par la déféroxamine. Surveiller la fonction cardiaque."
"ACIDE CHOLIQUE","PHÉNOBARBITAL (ET, PAR EXTRAPOLATION, PRIMIDONE)","Effet antagoniste du barbiturique.","CONTRE-INDICATION",""
"ACIDE CLODRONIQUE","ESTRAMUSTINE","Risque d'augmentation des concentrations plasmatiques d'estramustine par le clodronate.","Précaution d'emploi","Surveillance clinique au cours de l'association."
"ACIDE FOLINIQUE","FLUOROURACILE (ET, PAR EXTRAPOLATION, AUTRES FLUOROPYRIMIDINES)","Potentialisation des effets, à la fois cytostatiques et indésirables, du fluoro-uracile.","A prendre en compte",""
"ACIDE FUSIDIQUE","INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES)","Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse.","CONTRE-INDICATION","Arrêter le traitement par l'inhibiteur de l'HMG Co-A réductase avant d'initier un traitement par acide fusidique ou utiliser un autre antibiotique."
"ACIDE FUSIDIQUE","OMBITASVIR + PARITAPRÉVIR","Augmentation des concentrations plasmatiques de l'acide fusidique par diminution de son métabolisme hépatique par la bithérapie.","CONTRE-INDICATION",""
"ACIDE NICOTINIQUE","ALCOOL (BOISSON OU EXCIPIENT)","Risque de prurit, de rougeur et de chaleur, lié à une potentialisation de l'effet vasodilatateur.","A prendre en compte",""
"ACIDE URSODESOXYCHOLIQUE","CICLOSPORINE","Risque de variation des concentrations sanguines de ciclosporine.","A prendre en compte",""
"ACITRETINE","ALCOOL (BOISSON OU EXCIPIENT)","Chez la femme en âge de procréer, risque de transformation de l'acitrétine en étrétinate, puissant tératogène (demi-vie 120 jours).","CONTRE-INDICATION","Exposition à un risque tératogène majeur pendant le traitement et les 2 mois suivant son arrêt."
"ACITRETINE","METHOTREXATE","Risque de majoration de l'hépatotoxicité du méthotrexate.","CONTRE-INDICATION",""
"ADRENALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANÉE)","ANESTHÉSIQUES VOLATILS HALOGÉNÉS","Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.","Précaution d'emploi","Limiter l'apport, par exemple moins de 0,1 mg d'adrénaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte."
"ADRENALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANÉE)","ANTIDÉPRESSEURS IMIPRAMINIQUES","Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.","Précaution d'emploi","Limiter l'apport, par exemple moins de 0,1 mg d'adrénaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte."
"ADRENALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANÉE)","IMAO IRRÉVERSIBLES","Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.","Précaution d'emploi","Limiter l'apport, par exemple moins de 0,1 mg d'adrénaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte."
"ADRENALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANÉE)","MÉDICAMENTS MIXTES ADRÉNERGIQUES-SÉROTONINERGIQUES","Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.","Précaution d'emploi","Limiter l'apport, par exemple moins de 0,1 mg d'adrénaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte."
"AFATINIB","AMIODARONE","Augmentation des concentrations plasmatiques d'afatinib par augmentation de son absorption par l'amiodarone.","Précaution d'emploi","Administrer l'amiodarone le plus à distance possible de l'afatinib (intervalle de 6h ou 12h de préférence)."
"AFATINIB","CICLOSPORINE","Augmentation des concentrations plasmatiques d'afatinib par augmentation de son absorption par la ciclosporine.","Précaution d'emploi","Administrer la ciclosporine le plus à distance possible de l'afatinib (intervalle de 6h ou 12h de préférence)."
"AFATINIB","ERYTHROMYCINE","Augmentation des concentrations plasmatiques d'afatinib par augmentation de son absorption par l'érythromycine.","Précaution d'emploi","Administrer l'érythromycine le plus à distance possible de l'afatinib (intervalle de 6h ou 12h de préférence)."
"AFATINIB","INDUCTEURS ENZYMATIQUES PUISSANTS","Diminution des concentrations plasmatiques de l'afatinib par augmentation de son métabolisme par ces substances.","Précaution d'emploi","Surveillance clinique pendant l'association et 1 à 2 semaines après leur arrêt."
"AFATINIB","INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR","Augmentation des concentrations plasmatiques d'afatinib par augmentation de son absorption par l'inhibiteur de protéases.","Précaution d'emploi","Administrer l'inhibiteur de protéases le plus à distance possible de l'afatinib (intervalle de 6h ou 12h de préférence)."
"AFATINIB","ITRACONAZOLE","Augmentation des concentrations plasmatiques d'afatinib par augmentation de son absorption par l'itraconazole.","Précaution d'emploi","Administrer l'itraconazole le plus à distance possible de l'afatinib (intervalle de 6h ou 12h de préférence)."
"AFATINIB","KETOCONAZOLE","Augmentation des concentrations plasmatiques d'afatinib par augmentation de son absorption par le kétoconazole.","Précaution d'emploi","Administrer le kétoconazole le plus à distance possible de l'afatinib (intervalle de 6h ou 12h de préférence)."
"AFATINIB","PRIMIDONE","Diminution des concentrations plasmatiques de l'afatinib par augmentation de son métabolisme par la primidone.","Précaution d'emploi","Surveillance clinique pendant l'association et 1 à 2 semaines après leur arrêt."
"AFATINIB","RIFAMPICINE","Diminution des concentrations plasmatiques de l'afatinib par augmentation de son métabolisme par la rifampicine.","Précaution d'emploi","Surveillance clinique pendant l'association et 1 à 2 semaines après leur arrêt."
"AFATINIB","VERAPAMIL","Augmentation des concentrations plasmatiques d'afatinib par augmentation de son absorption par le vérapamil.","Précaution d'emploi","Administrer le vérapamil le plus à distance possible de l'afatinib (intervalle de 6h ou 12h de préférence)."
"AGOMELATINE","CIPROFLOXACINE","Augmentation des concentrations d'agomélatine, avec risque de majoration des effets indésirables.","Association DECONSEILLEE",""
"AGOMELATINE","FLUVOXAMINE","Augmentation des concentrations d'agomélatine, avec risque de majoration des effets indésirables.","CONTRE-INDICATION",""
"ALBENDAZOLE","INDUCTEURS ENZYMATIQUES PUISSANTS","Diminution importante des concentrations plasmatiques de l'albendazole et de son métabolite actif par l'inducteur, avec risque de baisse de son efficacité.","Précaution d'emploi","Surveillance clinique de la réponse thérapeutique et adaptation éventuelle de la posologie de l'albendazole pendant le traitement et après son arrêt."
"ALBENDAZOLE","INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR","Diminution importante des concentrations plasmatiques de l'albendazole et de son métabolite actif par le ritonavir, avec risque de baisse de son efficacité.","Précaution d'emploi","Surveillance clinique de la réponse thérapeutique et adaptation éventuelle de la posologie de l'albendazole pendant le traitement et après son arrêt."
"ALBENDAZOLE","RIFAMPICINE","Diminution importante des concentrations plasmatiques de l'albendazole et de son métabolite actif par l'inducteur, avec risque de baisse de son efficacité.","Précaution d'emploi","Surveillance clinique de la réponse thérapeutique et adaptation éventuelle de la posologie de l'albendazole pendant le traitement et après son arrêt."
"ALCALINISANTS URINAIRES","HYDROQUINIDINE","Augmentation des concentrations plasmatiques de l'hydroquinidine et risque de surdosage (diminution de l'excrétion rénale par alcalinisation des urines).","Précaution d'emploi","Surveillance clinique, ECG et éventuellement contrôle des concentrations de l'hydroquinidine; si besoin, adaptation de la posologie."
"ALCALINISANTS URINAIRES","QUINIDINE","Augmentation des concentrations plasmatiques de la quinidine et risque de surdosage (diminution de l'excrétion rénale par alcalinisation des urines).","Précaution d'emploi","Surveillance clinique, ECG et éventuellement contrôle de la quinidinémie; si besoin, adaptation de la posologie."
"ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES","ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS","Risque de vasoconstriction et/ou de poussées hypertensives.","Association DECONSEILLEE",""
"ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES","ANTIPARKINSONIENS ANTICHOLINEPGIQUES","Risque de majoration des troubles neuropsychiques.","Précaution d'emploi","Surveillance clinique et biologique régulière, notamment en début d'association."
"ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES","MACROLIDES (SAUF SPIRAMYCINE)","Augmentation des concentrations plasmatiques du dopaminergique avec accroissement possible de son activité ou apparition de signes de surdosage.","Association DECONSEILLEE",""
"ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES","SYMPATHOMIMÉTIQUES ALPHA (VOIES ORALE ET/OU NASALE)","Risque de vasoconstriction et/ou de poussées hypertensives.","Association DECONSEILLEE",""
"ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES","SYMPATHOMIMÉTIQUES INDIRECTS","Risque de vasoconstriction et/ou de poussées hypertensives.","Association DECONSEILLEE",""
"ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS","ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES","Risque de vasoconstriction et/ou de poussées hypertensives.","Association DECONSEILLEE",""
"ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS","INHIBITEURS PUISSANTS DU CYP3A4","Risque de vasoconstriction coronaire ou des extrémités (ergotisme), ou de poussées hypertensives.","CONTRE-INDICATION",""
"ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS","LÉTERMOVIR","Risque de vasoconstriction coronaire ou des extrémités (ergotisme), ou de poussées hypertensives.","CONTRE-INDICATION",""
