substance_a,substance_b,substance_a_norm,substance_b_norm,severity,ansm_codes,mechanism,conduct,source_page
ABATACEPT,ANTI-TNF ALPHA,abatacept,anti-tnf alpha,high,ASDEC,Majoration de l’immunodépression.,,3
ABATACEPT,VACCINS VIVANTS ATTÉNUÉS,abatacept,vaccins vivants attenues,high,ASDEC,"Risque de maladie vaccinale généralisée, éventuellement mortelle.",ainsi que pendant les 3 mois suivant l'arrêt du traitement.,3
ABIRATERONE,INDUCTEURS ENZYMATIQUES PUISSANTS,abiraterone,inducteurs enzymatiques puissants,high,ASDEC,"Diminution notable des concentrations plasmatiques de l’abiratérone, avec risque de moindre efficacité.",,3
ABIRATERONE,METOPROLOL,abiraterone,metoprolol,moderate,PE,"Chez l'insuffisant cardiaque, risque d'augmentation des effets indésirables du métoprolol, par diminution de son métabolisme hépatique par l'abiratérone.","Surveillance clinique. Si besoin, adaptation de la posologie du métoprolol pendant le traitement par l'abiratérone.",3
ABIRATERONE,PROPAFENONE,abiraterone,propafenone,moderate,PE,"Risque d'augmentation des effets indésirables de la propafénone, par diminution de son métabolisme hépatique par l'abiratérone.","Surveillance clinique. Si besoin, adaptation de la posologie de la propafénone pendant le traitement par l'abiratérone.",3
ABIRATERONE,RIFAMPICINE,abiraterone,rifampicine,high,ASDEC,"Diminution notable des concentrations plasmatiques de l’abiratérone, avec risque de moindre efficacité.",,3
ABROCITINIB,FLUCONAZOLE,abrocitinib,fluconazole,moderate,PE,Risque de majoration des effets indésirables de l’abrocitinib par diminution de son métabolisme.,Réduire la posologie de l’abrocitinib de moitié en cas de traitement par le fluconazole.,3
ABROCITINIB,FLUVOXAMINE,abrocitinib,fluvoxamine,moderate,PE,Risque de majoration des effets indésirables de l’abrocitinib par diminution de son métabolisme.,Réduire la posologie de l’abrocitinib de moitié en cas de traitement par la fluvoxamine.,3
ACETAZOLAMIDE,ACIDE ACETYLSALICYLIQUE,acetazolamide,acide acetylsalicylique,high,ASDEC,"Majoration des effets indésirables, et notamment de l'acidose métabolique, de l'acide acétylsalicylique à doses élevées et de l'acétazolamide, par diminution de l'élimination de l'acide acétylsalicylique par l'acétazolamide.",,3
ACETAZOLAMIDE,CARBAMAZEPINE,acetazolamide,carbamazepine,moderate,PE,Augmentation des concentrations plasmatiques de carbamazépine avec signes de surdosage.,"Surveillance clinique et, si besoin, contrôle des concentrations plasmatiques de carbamazépine et réduction éventuelle de sa posologie.",3
ACETAZOLAMIDE,LITHIUM,acetazolamide,lithium,moderate,PE,Diminution de la lithémie avec risque de baisse de l’efficacité thérapeutique.,Surveillance stricte de la lithémie et adaptation éventuelle de la posologie du lithium.,3
ACETAZOLAMIDE,"VALPROÏQUE (ACIDE) ET, PAR EXTRAPOLATION, VALPROMIDE",acetazolamide,"valproique (acide) et, par extrapolation, valpromide",moderate,PE,"Augmentation de l'hyperammoniémie, avec risque accru d'encéphalopathie.",Surveillance clinique et biologique régulière.,3
ACIDE ACETOHYDROXAMIQUE,FER,acide acetohydroxamique,fer,low,APEC,Diminution de l'absorption digestive de ces deux médicaments par chélation du fer.,,4
ACIDE ACETYLSALICYLIQUE,ACETAZOLAMIDE,acide acetylsalicylique,acetazolamide,high,ASDEC,"Majoration des effets indésirables, et notamment de l'acidose métabolique, de l'acide acétylsalicylique à doses élevées et de l'acétazolamide, par diminution de l'élimination de l'acide acétylsalicylique par l'acétazolamide.",,4
ACIDE ACETYLSALICYLIQUE,ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II,acide acetylsalicylique,antagonistes des recepteurs de l'angiotensine ii,moderate,PE,"Pour des doses anti-inflammatoires d'acide acétylsalicylique (>= 1g par prise et/ou >= 3g par jour) ou pour des doses antalgiques ou antipyrétiques (>= 500 mg par prise et/ou < 3g par jour) : Insuffisance rénale aiguë chez le patient à risque (âgé, déshydraté, sous diurétiques, avec une fonction rénale altérée), par diminution de la filtration glomérulaire secondaire à une diminution de la synthèse des prostaglandines rénales. Par ailleurs, réduction de l'effet antihypertenseur.",Hydrater le malade et surveiller la fonction rénale en début de traitement et régulièrement pendant l’association.,4
ACIDE ACETYLSALICYLIQUE,ANTICOAGULANTS ORAUX,acide acetylsalicylique,anticoagulants oraux,critical,CI;ASDEC;APEC,"Majoration du risque hémorragique, notamment en cas d’antécédent d’ulcère gastro-duodénal.","Contre-indication avec : - des doses anti-inflammatoires d'acide acétylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyrétiques (>=500 mg par prise et/ou <3g par jour) et en cas d’antécédent d’ulcère gastro-duodénal Association déconseillée avec : - des doses antalgiques ou antipyrétiques (>=500 mg par prise et/ou <3g par jour) en l'absence d’antécédent d’ulcère gastro-duodénal - des doses antiagrégantes (de 50 mg à 375 mg par jour) et en cas d’antécédent d’ulcère gastro-duodénal. Nécessité d'un contrôle le cas échéant, en particulier du temps de saignement. A prendre en compte avec : - des doses antiagrégantes (de 50 mg à 375 mg par jour)",4
ACIDE ACETYLSALICYLIQUE,ANTI-INFLAMMATOIRES NON STÉROÏDIENS,acide acetylsalicylique,anti-inflammatoires non steroidiens,high,ASDEC;APEC,Majoration du risque ulcérogène et hémorragique digestif.,Association déconseillée avec : - des doses anti-inflammatoires d'acide acétylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyrétiques (>=500 mg par prise et/ou <3g par jour) A prendre en compte avec : - des doses antiagrégantes (de 50 mg à 375 mg par jour en 1 ou plusieurs prises),4
ACIDE ACETYLSALICYLIQUE,CLOPIDOGREL,acide acetylsalicylique,clopidogrel,high,ASDEC;PE,Majoration du risque hémorragique par addition des activités antiagrégantes plaquettaires.,Association déconseillée : - en dehors des indications validées pour cette association dans les syndromes coronariens aigus. Précaution d'emploi : - dans les indications validées pour cette association dans les syndromes coronariens aigus. Surveillance clinique.,4
ACIDE ACETYLSALICYLIQUE,DEFERASIROX,acide acetylsalicylique,deferasirox,low,APEC,Majoration du risque ulcérogène et hémorragique digestif.,A prendre en compte : - Pour des doses anti-inflammatoires d'acide acétylsalicylique ( 1g par prise et/ou 3g par jour) - Pour des doses antalgiques ou antipyrétiques d'acide acétylsalicylique ( 500 mg par prise et/ou <3g par jour) et ( 500 mg par prise et/ou <3g par jour),4
